地址,行政区,街道,总户数,lng,lat
三林新村,浦东,三林,1248,121.51129010354683,31.142440986081276
绿地海珀佘山,松江,佘山,1246,121.18228329306949,31.09481780933093
星辰园(公寓),松江,松江大学城,1245,121.23563805102712,31.056637346200752
桃浦五村山茶苑,普陀,桃浦,1244,121.35431732415566,31.29235098989503
伟业金锦苑二村,浦东,金桥,1236,121.59210400281879,31.288212777614163
辽源四村,杨浦,江浦路,1232,121.52225167653233,31.304744779497238
密山二村,宝山,淞宝,1230,121.49349440190251,31.409215678063962
万源城朗郡,闵行,古美罗阳,1220,121.40215909934496,31.155959118149156
开鲁路382弄,杨浦,中原,1218,121.53941748635306,31.33159651917706
宝地东花园,杨浦,江浦路,1214,121.5195960159532,31.26828089133222
和平花苑,杨浦,鞍山,1214,121.51347154864727,31.277403001490022
明月坊,杨浦,东外滩,1212,121.5617898749096,31.280250363094595
尚东国际名园,浦东,三林,1208,121.51693478587988,31.169245881899776
同方锦城二期(张扬北路555弄),浦东,金桥,1200,121.59328500507274,31.271819902374975
世和园,杨浦,中原,1200,121.53071254663917,31.323168845839767
中核·锦悦府,青浦,徐泾,1200,121.2938489667181,31.185369892354384
鞍山八村,杨浦,鞍山,1200,121.51771451506254,31.285927544242895
振兴小区(徐汇),徐汇,大木桥,1197,121.44447027700097,31.199720618866543
崧泽华城秀景苑,青浦,青浦城区,1195,121.1662733249715,31.17090140998398
环球翡翠湾花园(公寓),浦东,御桥,1194,121.53908152009234,31.15974820027269
绿洲公寓,普陀,真如,1194,121.40055876807892,31.257910239896198
荣域飘鹰锦和花园(公寓),宝山,杨行,1192,121.43556726092214,31.373597970904044
安图新村,杨浦,黄兴公园,1192,121.54711785101514,31.29681848867539
控江七村,杨浦,控江,1191,121.53858996731726,31.28914186818196
绿地香颂(公寓),浦东,三林,1189,121.54796162938067,31.19831610934011
汇秀景苑三街坊,闵行,浦江镇,1186,121.54975842006172,31.04555604167641
瑞和华苑,闵行,浦江镇,1186,121.54295339650143,31.045163113061776
洛川中路1100弄,静安,大宁,1185,121.4560534773994,31.27070760991036
翔殷路491弄,杨浦,黄兴公园,1180,121.54282853203554,31.31156923495792
罗阳三村,闵行,梅陇春申,1180,121.41445806957373,31.129032344359413
长阳新苑,杨浦,东外滩,1175,121.5617898749096,31.280250363094595
徐家汇花园,徐汇,大木桥,1172,121.45332415576843,31.199929888056836
昆仑花苑,普陀,桃浦,1170,121.38652606821591,31.265616667719033
东荷小区,浦东,金桥,1166,121.59917905701536,31.278806786917862
控江路1200弄,杨浦,控江,1165,121.53334305466404,31.28526366578687
月浦五村,宝山,月浦,1156,121.43197475752663,31.42417033531704
誉品谷水湾,松江,松江大学城,1155,121.23164211862708,31.063627208242604
大名城紫金九号,浦东,唐镇,1152,121.6731544259315,31.234965071994928
同康苑,浦东,三林,1152,121.5109772237377,31.12600132008521
水电新村,杨浦,新江湾城,1151,121.53366509718937,31.34198998049357
南园新村,黄浦,斜土路,1150,121.48075328570175,31.203527777813605
庆安一村,宝山,月浦,1146,121.44263836257448,31.413692289173817
东方丽都,宝山,杨行,1146,121.44026297331445,31.389983898648687
唐家沙小区,静安,闸北公园,1146,121.47225342913578,31.27690001310791
德都路165弄,宝山,月浦,1145,121.4332080411613,31.415744571785062
俞一小区,徐汇,龙华,1145,121.45827157336463,31.175754352020665
首创锦悦,松江,松江大学城,1143,121.19643590874114,31.057441821956246
长白新城,杨浦,黄兴公园,1141,121.54872950093059,31.2993289328839
闵浦新苑二村(鹤坡南路56弄),闵行,浦江镇,1140,121.53705242760638,31.06530470413392
